登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率,イン進入数,さされ率,まくられ率,まくりさされ率
4638,2026-01-29,2026-07-30,234,32,20,6,4,2,0,0,12.5,18.8,-0.07,0.0,38,15.8,5.3,26.3
4639,2026-01-29,2026-07-30,218,26,18,2,4,2,0,0,15.4,7.7,0.07,1.0,30,6.7,13.3,6.7
4640,2026-01-29,2026-07-30,294,56,36,8,2,10,0,0,3.6,14.3,0.01,0.0,58,17.2,6.9,6.9
4641,2026-01-29,2026-07-30,172,20,12,4,0,2,2,0,0.0,20.0,-0.01,0.0,20,10.0,0.0,20.0
4642,2026-01-29,2026-07-30,268,102,46,16,8,24,8,0,7.8,15.7,0.02,0.0,62,6.5,6.5,6.5
4643,2026-01-29,2026-07-30,212,56,36,2,6,8,4,0,10.7,3.6,-0.01,0.0,46,4.3,4.3,4.3
4644,2026-01-29,2026-07-30,284,58,28,6,12,10,2,0,20.7,10.3,-0.05,0.0,48,12.5,12.5,0.0
4645,2026-01-29,2026-07-30,266,54,38,8,4,4,0,0,7.4,14.8,-0.02,0.0,56,10.7,7.1,10.7
4648,2026-01-29,2026-07-30,178,24,10,10,2,0,0,2,8.3,41.7,-0.02,0.0,26,38.5,15.4,7.7
4649,2026-01-29,2026-07-30,272,58,22,4,6,20,6,0,10.3,6.9,-0.07,0.0,46,13.0,13.0,8.7
4651,2026-01-29,2026-07-30,182,14,6,0,2,6,0,0,14.3,0.0,-0.01,0.0,22,27.3,18.2,9.1
4652,2026-01-29,2026-07-30,190,26,16,0,4,4,0,2,15.4,0.0,0.0,2.2,28,14.3,21.4,7.1
4653,2026-01-29,2026-07-30,166,54,36,2,4,4,8,0,7.4,3.7,-0.01,0.0,40,0.0,0.0,0.0
4654,2026-01-29,2026-07-30,236,54,34,12,0,8,0,0,0.0,22.2,0.01,0.0,46,4.3,13.0,8.7
4656,2026-01-29,2026-07-30,200,24,10,8,2,2,2,0,8.3,33.3,-0.01,0.0,28,50.0,7.1,7.1
4659,2026-01-29,2026-07-30,266,80,48,16,2,6,8,0,2.5,20.0,0.06,1.5,68,2.9,8.8,11.8
4660,2026-01-29,2026-07-30,180,14,6,4,4,0,0,0,28.6,28.6,-0.07,0.0,24,16.7,25.0,25.0
4661,2026-01-29,2026-07-30,290,38,18,6,2,6,4,2,5.3,15.8,0.06,0.7,44,13.6,9.1,27.3
4663,2026-01-29,2026-07-30,142,34,14,6,6,6,2,0,17.6,17.6,-0.07,0.0,24,8.3,16.7,8.3
4664,2026-01-29,2026-07-30,226,18,2,4,10,0,2,0,55.6,22.2,-0.05,0.0,28,35.7,35.7,14.3
4665,2026-01-29,2026-07-30,194,8,4,0,4,0,0,0,50.0,0.0,-0.12,0.0,24,25.0,25.0,25.0
4666,2026-01-29,2026-07-30,184,16,10,2,0,2,0,2,0.0,12.5,-0.09,0.0,22,9.1,27.3,9.1
4669,2026-01-29,2026-07-30,204,14,6,2,4,0,2,0,28.6,14.3,-0.06,0.0,22,36.4,9.1,27.3
4672,2026-01-29,2026-07-30,230,20,0,6,6,6,2,0,30.0,30.0,-0.06,0.0,30,53.3,20.0,20.0
4674,2026-01-29,2026-07-30,252,40,30,4,0,4,2,0,0.0,10.0,0.03,0.8,44,4.5,4.5,18.2
4675,2026-01-29,2026-07-30,164,38,16,6,4,12,0,0,10.5,15.8,-0.03,0.0,34,0.0,23.5,11.8
4676,2026-01-29,2026-07-30,218,26,14,4,2,4,2,0,7.7,15.4,0.13,2.8,38,15.8,0.0,31.6
4677,2026-01-29,2026-07-30,212,42,16,4,8,6,8,0,19.0,9.5,-0.05,0.0,36,5.6,5.6,27.8
4678,2026-01-29,2026-07-30,172,28,16,4,2,2,4,0,7.1,14.3,0.02,0.0,30,20.0,13.3,6.7
4679,2026-01-29,2026-07-30,286,60,42,0,8,8,2,0,13.3,0.0,-0.01,0.0,60,10.0,10.0,6.7
4680,2026-01-29,2026-07-30,236,30,12,8,6,2,2,0,20.0,26.7,0.03,0.9,40,15.0,35.0,5.0
4681,2026-01-29,2026-07-30,112,8,4,2,0,2,0,0,0.0,25.0,-0.07,0.0,16,62.5,0.0,0.0
4682,2026-01-29,2026-07-30,262,70,44,10,6,8,2,0,8.6,14.3,-0.01,0.0,50,0.0,0.0,8.0
4683,2026-01-29,2026-07-30,134,12,0,0,12,0,0,0,100.0,0.0,-0.46,0.0,0,,,
4684,2026-01-29,2026-07-30,244,42,26,4,6,0,6,0,14.3,9.5,-0.03,0.0,52,7.7,23.1,3.8
4685,2026-01-29,2026-07-30,238,92,52,12,8,18,2,0,8.7,13.0,0.04,0.8,66,6.1,9.1,6.1
4686,2026-01-29,2026-07-30,240,76,40,10,10,12,4,0,13.2,13.2,0.02,0.0,48,4.2,12.5,0.0
4688,2026-01-29,2026-07-30,266,92,52,14,10,14,0,2,10.9,15.2,-0.02,0.0,64,0.0,6.2,12.5
4689,2026-01-29,2026-07-30,216,28,12,2,6,6,2,0,21.4,7.1,-0.02,0.0,42,19.0,14.3,33.3
4690,2026-01-29,2026-07-30,76,10,6,0,0,2,2,0,0.0,0.0,0.05,2.6,10,20.0,20.0,0.0
4691,2026-01-29,2026-07-30,116,14,10,2,0,0,2,0,0.0,14.3,-0.02,0.0,14,0.0,14.3,14.3
4692,2026-01-29,2026-07-30,206,24,8,0,16,0,0,0,66.7,0.0,-0.14,0.0,30,33.3,20.0,20.0
4693,2026-01-29,2026-07-30,230,18,4,6,2,2,2,2,11.1,33.3,-0.14,0.0,26,38.5,30.8,7.7
4694,2026-01-29,2026-07-30,166,20,10,2,6,2,0,0,30.0,10.0,0.0,0.0,24,25.0,8.3,16.7
4695,2026-01-29,2026-07-30,200,44,20,14,2,6,2,0,4.5,31.8,-0.09,0.0,34,11.8,5.9,11.8
4697,2026-01-29,2026-07-30,202,12,8,0,4,0,0,0,33.3,0.0,-0.03,0.0,26,23.1,7.7,38.5
4700,2026-01-29,2026-07-30,262,54,30,10,6,4,4,0,11.1,18.5,-0.02,0.0,50,8.0,20.0,8.0
4702,2026-01-29,2026-07-30,184,44,18,6,6,12,2,0,13.6,13.6,-0.04,0.0,38,21.1,15.8,5.3
4703,2026-01-29,2026-07-30,242,66,34,0,16,14,0,2,24.2,0.0,-0.02,0.0,50,12.0,0.0,20.0
