toban,stint,branch,firstDate,lastDate,nNear,nFar,winsNear,winsFar,top3Near,top3Far,eligible,winDiff,winDiffCourseAdj,top3Diff,top3DiffCourseAdj,meanFinishDiff,meanFinishDiffCourseAdj
3044,0,福井,2018-03-08,2024-03-13,202,895,5,78,69,372,1,-0.062398,-0.056440,-0.074058,-0.068384,0.329487,0.303679
3051,0,佐賀,2016-11-01,2022-12-24,249,502,25,35,99,177,1,0.030680,0.033863,0.045001,0.059459,-0.126298,-0.179006
3052,0,徳島,2016-11-01,2020-11-30,26,601,0,24,10,193,1,-0.039933,-0.049792,0.063484,0.068102,-0.216498,-0.225150
3054,0,広島,2016-11-01,2026-08-05,307,1210,59,270,158,699,1,-0.030958,-0.031145,-0.063028,-0.061903,0.175519,0.171858
3058,0,岡山,2016-11-03,2021-04-28,125,623,8,49,40,220,1,-0.014652,-0.009844,-0.033130,-0.030831,0.078266,0.063898
3064,0,香川,2016-11-08,2021-02-20,25,701,3,143,8,344,1,-0.083994,-0.074294,-0.170728,-0.163814,0.680685,0.646556
3065,0,埼玉,2016-11-05,2024-10-12,592,708,36,30,239,253,1,0.018438,0.011266,0.046372,0.041344,-0.213974,-0.190899
3066,0,埼玉,2016-11-03,2022-12-20,372,596,39,33,145,193,1,0.049470,0.040259,0.065959,0.065697,-0.262268,-0.251419
3070,0,岡山,2016-11-03,2026-06-17,368,1259,85,302,235,783,1,-0.008895,-0.012849,0.016665,0.012721,0.003430,0.020394
3072,0,東京,2016-11-12,2026-08-05,259,1074,32,149,115,459,1,-0.015182,-0.029138,0.016641,0.007697,-0.070296,-0.026319
3073,0,佐賀,2016-11-03,2020-04-30,93,436,6,33,31,128,1,-0.011172,-0.001406,0.039755,0.053588,0.031740,-0.023687
3075,0,埼玉,2016-11-03,2026-08-05,608,1372,133,232,327,661,1,0.049654,0.050059,0.056051,0.059341,-0.163093,-0.174391
3079,0,大阪,2016-11-03,2022-07-12,120,587,18,77,44,227,1,0.018825,0.020416,-0.020045,-0.014766,0.005664,-0.014735
3081,0,山口,2016-11-01,2026-05-31,178,1295,31,214,96,665,1,0.008906,0.009088,0.025812,0.026946,-0.091202,-0.097816
3085,0,東京,2016-11-09,2019-05-13,13,208,2,16,7,82,0,,,,,,
3090,0,東京,2016-11-01,2018-06-15,38,210,0,10,6,62,1,-0.047619,-0.044955,-0.137343,-0.134703,0.484712,0.470787
3095,0,岡山,2016-11-09,2017-02-22,8,42,0,5,5,17,0,,,,,,
3105,0,東京,2016-11-06,2026-08-10,229,1109,26,128,102,569,1,-0.001882,0.004276,-0.067660,-0.054558,0.236922,0.186562
3107,0,大阪,2016-11-01,2026-06-12,279,1466,13,159,103,613,1,-0.061863,-0.050185,-0.048969,-0.040329,0.185280,0.146059
3108,0,徳島,2016-11-08,2021-06-22,67,901,3,40,16,251,1,0.000381,-0.007849,-0.039773,-0.041851,0.023374,0.039094
3117,0,東京,2016-11-03,2019-12-24,47,337,0,8,6,89,1,-0.023739,-0.014859,-0.136435,-0.122375,0.346550,0.291232
3120,0,大阪,2016-11-03,2017-09-28,31,91,4,4,13,24,1,0.085076,0.069524,0.155619,0.150015,-0.319390,-0.290051
3121,0,福岡,2016-11-03,2017-01-19,0,39,0,5,0,16,0,,,,,,
3122,0,兵庫,2016-11-03,2022-11-19,184,859,9,66,58,300,1,-0.027920,-0.023606,-0.034026,-0.029051,0.062522,0.041293
3123,0,滋賀,2016-11-03,2022-12-27,198,971,11,69,72,370,1,-0.015505,-0.003419,-0.017414,-0.010363,0.068268,0.033713
3128,0,福岡,2016-11-01,2018-03-29,36,197,4,14,10,53,1,0.040045,0.065364,0.008742,0.036355,-0.102651,-0.214876
3135,0,長崎,2016-11-05,2018-06-11,44,163,5,15,11,43,1,0.021612,0.048310,-0.013804,0.008266,-0.170385,-0.269752
3136,0,埼玉,2016-11-03,2019-05-06,153,179,9,6,55,39,1,0.025304,0.019029,0.141600,0.130355,-0.601344,-0.558048
3137,0,香川,2016-11-05,2018-12-26,15,298,1,12,4,84,0,,,,,,
3138,0,東京,2016-11-01,2020-10-18,85,271,4,4,22,83,1,0.032299,0.020949,-0.047450,-0.072217,0.051704,0.144456
3139,0,長崎,2016-11-15,2017-05-04,8,58,0,1,0,9,0,,,,,,
3141,0,東京,2016-11-03,2024-10-16,151,773,15,62,52,277,1,0.019131,0.004800,-0.013973,-0.029538,0.112060,0.177682
3142,0,徳島,2016-11-03,2021-11-25,18,552,2,22,6,163,0,,,,,,
3151,0,長崎,2016-11-01,2023-10-02,350,676,37,71,147,285,1,0.000685,-0.004578,-0.001598,-0.017863,-0.032434,0.027356
3153,0,佐賀,2016-11-08,2022-01-05,227,669,16,55,72,240,1,-0.011728,-0.006526,-0.041564,-0.040997,0.070873,0.063276
3156,0,静岡,2016-11-01,2026-08-11,386,1340,64,217,178,637,1,0.003863,0.002165,-0.014233,-0.015262,0.075694,0.079921
3158,0,広島,2016-11-01,2026-08-11,590,1735,146,411,356,1087,1,0.010570,0.010518,-0.023123,-0.020381,0.062272,0.052259
3159,0,群馬,2016-11-03,2026-05-06,431,1321,148,458,317,964,1,-0.003320,0.006456,0.005749,0.010066,-0.014741,-0.038964
3161,0,大阪,2016-11-03,2026-08-08,326,1853,54,262,186,1063,1,0.024252,0.016747,-0.003112,-0.006555,-0.056870,-0.039435
3164,0,山口,2017-01-12,2022-12-18,122,573,16,42,55,214,1,0.057849,0.050621,0.077347,0.072731,-0.238392,-0.219139
3166,0,香川,2016-11-05,2017-03-16,0,49,0,1,0,7,0,,,,,,
3169,0,東京,2016-11-01,2017-05-13,0,90,0,2,0,23,0,,,,,,
3170,0,大阪,2016-11-03,2021-05-06,100,507,6,37,22,170,1,-0.012978,-0.002403,-0.115306,-0.086160,0.487022,0.381560
3171,0,長崎,2016-11-06,2017-12-28,34,128,1,5,9,35,1,-0.009651,0.003103,-0.008732,-0.015576,-0.086857,-0.072287
3174,0,福岡,2016-11-05,2019-09-08,59,311,2,20,19,79,1,-0.030410,-0.007809,0.068015,0.098019,-0.131887,-0.257179
3175,0,東京,2016-11-03,2026-08-05,284,1519,21,139,144,808,1,-0.017564,-0.017151,-0.024887,-0.024814,0.099567,0.099666
3176,0,山口,2016-12-07,2026-03-14,316,1238,34,139,143,535,1,-0.004683,0.000116,0.020383,0.027085,-0.059922,-0.085854
3177,0,東京,2016-11-03,2022-12-17,129,726,6,20,36,222,1,0.018963,-0.000347,-0.026715,-0.044591,-0.011115,0.065354
3182,0,群馬,2016-11-15,2022-12-11,187,703,5,18,69,238,1,0.001133,-0.015275,0.030435,0.026704,-0.010665,0.014834
3186,0,大阪,2016-11-15,2022-12-18,183,928,19,93,78,356,1,0.003610,0.003841,0.042609,0.036409,-0.122910,-0.102440
