toban,stint,branch,firstDate,lastDate,nHome,nNon,winsHome,winsNon,top3Home,top3Non,eligible,winDiff,winDiffCourseAdj,top3Diff,top3DiffCourseAdj,meanFinishDiff,meanFinishDiffCourseAdj
3054,0,広島,2016-11-01,2026-08-05,373,1517,89,329,234,857,1,0.021730,0.023229,0.062415,0.062036,-0.253964,-0.253253
3058,0,岡山,2016-11-03,2021-04-28,125,748,9,57,48,260,1,-0.004203,-0.016721,0.036406,0.027418,-0.006813,0.035094
3064,0,香川,2016-11-08,2021-02-20,168,726,31,146,79,352,1,-0.016578,-0.014838,-0.014610,-0.023853,0.175817,0.204634
3065,0,埼玉,2016-11-05,2024-10-12,286,1300,22,66,137,492,1,0.026154,0.015463,0.100559,0.090035,-0.321469,-0.276663
3066,0,埼玉,2016-11-03,2022-12-20,195,968,11,72,68,338,1,-0.017970,-0.039475,-0.000456,-0.026395,-0.067848,0.039915
3070,0,岡山,2016-11-03,2026-06-17,0,1627,0,387,0,1018,0,,,,,,
3072,0,東京,2016-11-12,2026-08-05,562,1333,81,181,251,574,1,0.008344,0.028099,0.016012,0.028219,-0.083988,-0.143559
3073,0,佐賀,2016-11-03,2020-04-30,93,529,8,39,38,159,1,0.012297,0.032666,0.108035,0.144629,-0.317926,-0.460609
3075,0,埼玉,2016-11-03,2026-08-05,354,1980,62,365,189,988,1,-0.009202,-0.011521,0.034908,0.035221,-0.071940,-0.072757
3079,0,大阪,2016-11-03,2022-07-12,89,707,12,95,42,271,1,0.000461,0.001526,0.088600,0.087238,-0.262432,-0.256732
3081,0,山口,2016-11-01,2026-05-31,245,1473,43,245,132,761,1,0.009183,-0.000816,0.022143,0.002281,-0.126982,-0.050962
3085,0,東京,2016-11-09,2019-05-13,139,221,10,18,61,89,1,-0.009506,-0.032072,0.036134,0.020306,0.015756,0.090140
3090,0,東京,2016-11-01,2018-06-15,71,248,5,10,23,68,1,0.030100,0.003576,0.049750,0.030624,-0.083258,0.005195
3095,0,岡山,2016-11-09,2017-02-22,0,50,0,5,0,22,0,,,,,,
3105,0,東京,2016-11-06,2026-08-10,847,1338,144,154,456,671,1,0.054915,0.045367,0.036876,0.028792,-0.221197,-0.185071
3107,0,大阪,2016-11-01,2026-06-12,218,1745,33,172,115,716,1,0.052809,0.029444,0.117208,0.086990,-0.364254,-0.240536
3108,0,徳島,2016-11-08,2021-06-22,0,968,0,43,0,267,0,,,,,,
3117,0,東京,2016-11-03,2019-12-24,126,384,12,8,39,95,1,0.074405,0.043270,0.062128,0.039590,-0.236731,-0.131445
3120,0,大阪,2016-11-03,2017-09-28,0,122,0,8,0,37,0,,,,,,
3121,0,福岡,2016-11-03,2017-01-19,19,39,1,5,9,16,0,,,,,,
3122,0,兵庫,2016-11-03,2022-11-19,207,1043,13,75,80,358,1,-0.009106,-0.022557,0.043233,0.025130,-0.058411,0.016369
3123,0,滋賀,2016-11-03,2022-12-27,80,1169,2,80,30,442,1,-0.043435,-0.043555,-0.003101,-0.004886,-0.003144,0.004356
3128,0,福岡,2016-11-01,2018-03-29,16,233,1,18,7,63,0,,,,,,
3135,0,長崎,2016-11-05,2018-06-11,38,207,4,20,13,54,1,0.008645,0.004111,0.081236,0.042404,-0.191584,-0.057119
3136,0,埼玉,2016-11-03,2019-05-06,99,332,9,15,31,94,1,0.045728,0.006238,0.029999,-0.006337,-0.214890,-0.055331
3137,0,香川,2016-11-05,2018-12-26,81,313,6,13,18,88,1,0.032541,0.031396,-0.058928,-0.065742,0.073246,0.099833
3138,0,東京,2016-11-01,2020-10-18,203,356,8,8,63,105,1,0.016937,-0.009351,0.015401,-0.015169,0.013685,0.143075
3139,0,長崎,2016-11-15,2017-05-04,9,66,0,1,2,9,0,,,,,,
3141,0,東京,2016-11-03,2024-10-16,611,924,67,77,245,329,1,0.026323,0.004591,0.044921,0.026503,-0.218887,-0.136294
3142,0,徳島,2016-11-03,2021-11-25,131,570,13,24,38,169,1,0.057131,0.021649,-0.006415,-0.037902,-0.077675,0.062749
3151,0,長崎,2016-11-01,2023-10-02,331,1026,52,108,158,432,1,0.051837,0.033668,0.056289,0.042924,-0.275198,-0.213342
3153,0,佐賀,2016-11-08,2022-01-05,153,896,9,71,62,312,1,-0.020418,-0.023621,0.057014,0.053947,-0.223032,-0.209248
3156,0,静岡,2016-11-01,2026-08-11,452,1726,102,281,247,815,1,0.062860,0.024998,0.074270,0.048527,-0.296145,-0.174075
3158,0,広島,2016-11-01,2026-08-11,250,2325,72,557,156,1443,1,0.048430,0.034345,0.003355,-0.012332,-0.101462,-0.036258
3159,0,群馬,2016-11-03,2026-05-06,489,1752,203,606,386,1281,1,0.069243,0.010541,0.058202,0.023366,-0.234351,-0.060740
3161,0,大阪,2016-11-03,2026-08-08,298,2179,36,316,174,1249,1,-0.024215,-0.033437,0.010694,-0.000447,0.006524,0.052590
3164,0,山口,2017-01-12,2022-12-18,169,695,24,58,74,269,1,0.058559,0.038445,0.050819,0.026109,-0.344813,-0.241611
3166,0,香川,2016-11-05,2017-03-16,0,49,0,1,0,7,0,,,,,,
3169,0,東京,2016-11-01,2017-05-13,17,90,2,2,9,23,0,,,,,,
3170,0,大阪,2016-11-03,2021-05-06,7,607,1,43,2,192,0,,,,,,
3171,0,長崎,2016-11-06,2017-12-28,34,162,1,6,7,44,1,-0.007625,-0.008134,-0.065723,-0.075914,0.225490,0.267106
3174,0,福岡,2016-11-05,2019-09-08,95,370,4,22,38,98,1,-0.017354,-0.005125,0.135135,0.156576,-0.307824,-0.390797
3175,0,東京,2016-11-03,2026-08-05,322,1803,40,160,189,952,1,0.035483,0.036555,0.058948,0.058521,-0.169746,-0.167822
3176,0,山口,2016-12-07,2026-03-14,202,1554,30,173,96,678,1,0.037189,0.027705,0.038954,0.032178,-0.172847,-0.140666
3177,0,東京,2016-11-03,2022-12-17,395,855,29,26,158,258,1,0.043008,0.021920,0.098246,0.082982,-0.336472,-0.267079
3182,0,群馬,2016-11-15,2022-12-11,143,890,3,23,52,307,1,-0.004864,-0.031805,0.018693,-0.011489,-0.068893,0.057108
3186,0,大阪,2016-11-15,2022-12-18,107,1111,23,112,42,434,1,0.114143,0.090839,0.001884,-0.027999,-0.121765,-0.001454
3187,0,香川,2016-11-09,2021-11-15,233,799,23,79,104,338,1,-0.000161,-0.006872,0.023323,0.014285,-0.011119,0.025500
3188,0,福岡,2016-11-03,2025-04-04,580,1618,124,313,377,1051,1,0.020344,0.004378,0.000433,-0.011476,-0.002312,0.052871
3189,0,香川,2016-11-08,2018-12-26,100,342,7,11,28,89,1,0.037836,0.027493,0.019766,0.002741,-0.117193,-0.049824
3200,0,東京,2016-11-01,2021-10-30,291,765,62,201,181,519,1,-0.049687,-0.040829,-0.056438,-0.047509,0.198585,0.157236
3202,0,東京,2016-11-06,2026-08-10,801,1080,82,68,369,372,1,0.039409,0.015739,0.116230,0.091016,-0.427518,-0.319974
3207,0,東京,2016-11-03,2026-07-21,480,1090,34,58,177,350,1,0.017622,-0.008685,0.047649,0.020568,-0.212959,-0.098081
3211,0,佐賀,2016-11-08,2026-08-11,399,1567,26,150,166,657,1,-0.030561,-0.043493,-0.003232,-0.016537,0.061876,0.120034
3212,0,広島,2016-11-01,2026-08-08,408,1484,58,172,203,722,1,0.026254,0.021216,0.011026,0.010519,-0.092397,-0.087755
3214,0,岡山,2016-11-03,2018-11-11,37,319,1,14,11,80,1,-0.016860,-0.021917,0.046514,0.046585,-0.191731,-0.180928
3220,0,静岡,2016-11-15,2022-10-13,243,1052,30,101,109,477,1,0.027449,0.014919,-0.004862,-0.022565,0.022771,0.096353
3224,0,佐賀,2016-11-10,2026-08-10,326,1738,30,192,126,789,1,-0.018447,-0.020016,-0.067467,-0.068358,0.230164,0.234361
3225,0,東京,2016-11-07,2017-10-14,36,65,1,2,13,9,1,-0.002991,-0.034304,0.222650,0.184584,-0.883333,-0.725205
3226,0,東京,2016-11-03,2026-08-08,717,1443,105,132,332,636,1,0.054967,0.035195,0.022292,0.010670,-0.107157,-0.050600
3227,0,東京,2016-11-05,2024-01-22,407,1021,76,210,216,552,1,-0.018949,-0.011278,-0.009934,0.002887,0.076350,0.026302
3228,0,群馬,2016-11-18,2017-03-03,8,36,0,2,3,8,0,,,,,,
3231,0,愛知,2016-11-01,2023-01-04,342,1043,49,127,176,471,1,0.021511,0.011578,0.063038,0.039927,-0.218020,-0.132764
3232,0,香川,2016-11-03,2026-08-11,271,1817,55,480,144,1169,1,-0.061220,-0.055178,-0.112003,-0.108820,0.282916,0.266431
3233,0,岡山,2016-11-01,2026-07-20,469,2065,68,291,251,1118,1,0.004069,-0.004059,-0.006223,-0.017331,-0.045217,0.001412
3234,0,香川,2016-11-01,2021-10-22,262,716,31,50,100,201,1,0.048488,0.032652,0.100953,0.084482,-0.270481,-0.198926
3235,0,群馬,2016-11-03,2021-06-25,134,757,14,61,50,239,1,0.023896,-0.003948,0.057414,0.025391,-0.209902,-0.075561
3236,0,東京,2016-11-08,2020-02-24,176,490,31,63,79,205,1,0.047565,0.019477,0.030496,0.004877,-0.177644,-0.066657
3243,0,大阪,2018-07-17,2024-06-18,181,679,17,62,62,200,1,0.002612,-0.014731,0.047991,0.025033,-0.097129,-0.003911
3245,0,埼玉,2016-11-03,2020-04-26,98,524,8,56,42,200,1,-0.025238,-0.029842,0.046892,0.033389,-0.135457,-0.083854
3246,0,兵庫,2016-11-03,2026-05-31,310,1374,49,123,140,554,1,0.068545,0.059377,0.048411,0.041293,-0.272456,-0.241081
3251,0,埼玉,2016-11-05,2026-08-11,529,2361,104,458,313,1421,1,0.002612,0.006962,-0.010181,-0.010259,0.023089,0.020366
3254,0,香川,2016-11-01,2022-03-04,170,760,13,52,62,265,1,0.008050,-0.000728,0.016022,0.015857,0.014861,0.022286
3256,0,東京,2016-12-04,2026-08-11,902,1667,228,471,599,1115,1,-0.029772,-0.029297,-0.004786,-0.002552,0.029917,0.022351
3257,0,福岡,2017-01-24,2026-08-07,712,1099,290,408,507,728,1,0.036057,0.030704,0.049658,0.048935,-0.179469,-0.171285
3261,0,岡山,2016-11-01,2022-11-19,198,874,16,56,74,321,1,0.016735,0.002322,0.006460,-0.005296,-0.037723,0.014906
3265,0,福岡,2016-11-03,2026-08-02,608,1454,178,383,407,1017,1,0.029352,0.022252,-0.030042,-0.033635,0.073608,0.092782
3268,0,三重,2016-11-05,2026-08-08,300,1910,67,333,173,1045,1,0.048988,0.031745,0.029546,0.013362,-0.160785,-0.090780
3269,0,群馬,2016-11-06,2016-11-11,9,0,0,0,2,0,0,,,,,,
3273,0,広島,2016-11-01,2025-07-27,365,1493,59,164,192,655,1,0.051798,0.033233,0.087313,0.071043,-0.305416,-0.232877
3276,0,愛知,2016-11-10,2020-02-01,116,520,10,47,34,169,1,-0.004178,-0.013334,-0.031897,-0.049153,0.008886,0.076787
3277,0,東京,2016-11-03,2026-08-10,692,1229,79,111,300,465,1,0.023845,0.006690,0.055170,0.045107,-0.210163,-0.160086
3278,0,滋賀,2016-11-01,2018-06-27,78,349,19,87,46,230,1,-0.005694,-0.013719,-0.069282,-0.077030,0.102711,0.136166
3280,0,三重,2016-11-03,2024-11-23,276,1081,34,139,125,456,1,-0.005396,-0.016880,0.031067,0.024924,-0.116636,-0.083580
3281,0,大阪,2016-11-01,2020-06-26,106,586,8,34,33,191,1,0.017451,0.009020,-0.014618,-0.031351,0.011301,0.076532
3282,0,広島,2016-11-03,2026-08-10,411,1973,63,243,215,951,1,0.030122,0.018540,0.041107,0.027293,-0.155159,-0.097797
3283,0,福井,2016-11-01,2022-12-22,210,1094,17,120,87,408,1,-0.028737,-0.038961,0.041342,0.029134,0.027248,0.077980
3284,0,佐賀,2016-11-01,2026-08-10,415,1994,111,407,274,1126,1,0.063358,0.059687,0.095547,0.092843,-0.271289,-0.259719
3286,0,静岡,2016-11-01,2026-08-08,337,1424,64,150,171,587,1,0.084574,0.056285,0.095199,0.063003,-0.436939,-0.302135
3289,0,大阪,2016-12-01,2026-06-29,268,1445,47,190,133,659,1,0.043885,0.022214,0.040213,0.009291,-0.120846,0.003800
3290,0,大阪,2016-11-03,2024-12-12,195,1159,49,260,120,720,1,0.026951,0.016713,-0.005841,-0.010169,-0.054406,-0.029711
3291,0,福岡,2016-11-03,2017-10-16,27,127,1,4,7,30,1,0.005541,-0.005441,0.023039,0.018246,0.107612,0.132435
3293,0,東京,2016-11-03,2026-08-03,459,1501,30,67,186,531,1,0.020723,0.005591,0.051465,0.038693,-0.154450,-0.097790
3294,0,静岡,2016-11-07,2026-08-08,460,1538,64,144,207,625,1,0.045502,0.024357,0.043628,0.026268,-0.224249,-0.146496
3295,0,徳島,2016-11-08,2023-02-27,121,1020,10,165,69,550,1,-0.079120,-0.092295,0.031032,0.021760,0.019802,0.063009
3296,0,群馬,2016-11-03,2020-11-13,161,405,10,26,55,112,1,-0.002086,-0.026645,0.065072,0.032769,-0.225427,-0.094139
3297,0,福岡,2016-11-03,2026-08-03,935,1513,175,249,568,826,1,0.022592,0.006717,0.061551,0.044926,-0.178838,-0.109347
3298,0,静岡,2016-12-29,2019-11-02,40,116,1,3,5,25,1,-0.000862,-0.016568,-0.090517,-0.099898,0.162931,0.208272
3299,0,福岡,2016-11-03,2016-11-08,0,8,0,0,0,2,0,,,,,,
3300,0,岡山,2016-12-03,2026-07-09,461,2165,118,480,291,1339,1,0.034256,0.022917,0.012761,0.000973,-0.164168,-0.113138
3302,0,愛知,2016-11-03,2026-08-11,506,1765,119,365,283,911,1,0.028379,0.015460,0.043141,0.023209,-0.113884,-0.034747
3303,0,東京,2016-11-01,2026-08-10,897,1693,145,242,548,886,1,0.018708,0.020725,0.087594,0.089571,-0.250421,-0.259640
3304,0,徳島,2016-11-03,2026-08-10,616,2155,147,475,386,1272,1,0.018219,0.019576,0.036368,0.036015,-0.117859,-0.116423
3305,0,岡山,2016-11-03,2026-08-10,0,1888,0,204,0,673,0,,,,,,
3306,0,埼玉,2016-11-01,2026-08-05,300,1428,44,99,150,491,1,0.077339,0.047760,0.156162,0.122323,-0.548655,-0.407274
3307,0,佐賀,2020-05-11,2024-07-03,135,574,39,131,81,322,1,0.060666,0.017645,0.039024,0.005219,-0.047864,0.105294
3309,0,東京,2016-11-08,2018-10-05,69,277,3,14,21,71,1,-0.007063,-0.027229,0.048030,0.027868,-0.204991,-0.117874
3310,0,群馬,2016-11-18,2022-06-13,181,858,7,33,52,278,1,0.000212,-0.011858,-0.036717,-0.053095,0.127709,0.193750
3312,0,愛知,2016-11-08,2016-12-04,0,25,0,7,0,13,0,,,,,,
3313,0,東京,2016-11-09,2026-08-10,667,1146,75,71,289,365,1,0.050489,0.025477,0.114784,0.087436,-0.381400,-0.265025
3315,0,愛知,2016-11-01,2026-08-11,396,1420,34,163,184,688,1,-0.028930,-0.031031,-0.019861,-0.025515,0.114895,0.136307
3317,0,福岡,2016-11-01,2018-10-01,77,278,4,16,26,100,1,-0.005606,-0.023052,-0.022050,-0.039090,0.129076,0.203333
3319,0,埼玉,2016-11-01,2026-08-11,401,2303,94,445,268,1396,1,0.041188,0.047829,0.062163,0.065437,-0.201803,-0.218844
3324,0,兵庫,2016-11-12,2016-11-17,0,8,0,0,0,0,0,,,,,,
3325,0,長崎,2016-11-09,2020-04-05,7,545,2,31,4,151,0,,,,,,
3326,0,群馬,2016-11-01,2017-09-25,42,196,12,38,28,119,1,0.091837,0.070344,0.059524,0.021243,-0.144558,0.005340
3327,0,静岡,2016-11-01,2026-08-11,0,2389,0,489,0,1509,0,,,,,,
3328,0,東京,2016-11-03,2016-12-31,10,12,1,0,4,1,0,,,,,,
3329,0,愛知,2016-11-15,2017-11-28,33,218,5,72,18,143,1,-0.178760,-0.196763,-0.110509,-0.136476,0.476369,0.584879
3331,0,愛知,2016-11-03,2023-08-18,313,1365,63,289,197,870,1,-0.010444,-0.013556,-0.007970,-0.015476,0.004152,0.033987
3333,0,徳島,2016-11-03,2026-08-10,573,2157,138,456,379,1365,1,0.029433,0.028240,0.028608,0.022930,-0.145099,-0.122461
3334,0,広島,2016-11-07,2026-08-05,301,2167,53,315,173,1163,1,0.030717,0.016406,0.038064,0.025379,-0.207404,-0.151766
3335,0,佐賀,2016-11-01,2020-10-11,150,583,14,42,51,199,1,0.021292,0.007380,-0.001338,-0.024537,-0.010166,0.080467
3336,0,東京,2016-11-03,2021-08-15,240,655,17,53,100,267,1,-0.010083,-0.034370,0.009033,-0.018519,-0.014154,0.101789
3338,0,広島,2016-11-03,2024-05-03,303,985,33,62,114,318,1,0.045967,0.027545,0.053395,0.043807,-0.142645,-0.091934
3339,0,兵庫,2016-11-01,2026-08-05,319,1613,47,207,153,746,1,0.019003,0.011219,0.017132,0.005704,-0.144494,-0.101019
3340,0,東京,2016-11-03,2026-08-10,802,1357,95,111,361,529,1,0.036656,0.022414,0.060294,0.050777,-0.272258,-0.226789
3342,0,愛知,2016-11-23,2016-12-31,0,24,0,0,0,0,0,,,,,,
3343,0,福井,2016-11-03,2019-10-02,60,434,11,59,38,241,1,0.047389,0.029387,0.078034,0.065528,-0.185714,-0.121686
3344,0,静岡,2016-11-08,2018-06-11,58,270,5,15,18,96,1,0.030651,-0.005428,-0.045211,-0.072010,-0.098851,0.023991
3346,0,兵庫,2016-11-03,2026-01-26,245,1592,38,211,107,693,1,0.022564,0.010741,0.001433,-0.019036,-0.047318,0.032269
3347,0,東京,2016-11-03,2024-08-02,428,1485,75,258,257,897,1,0.001496,-0.000214,-0.003573,-0.000326,-0.010186,-0.020902
3349,0,長崎,2016-11-12,2026-08-10,442,1874,122,460,279,1214,1,0.030554,0.007540,-0.016590,-0.035276,-0.058032,0.027459
3350,0,山口,2016-11-05,2026-08-01,476,1865,79,273,269,1020,1,0.019586,0.008000,0.018209,0.001838,-0.119797,-0.052952
3352,0,福岡,2016-11-01,2026-08-11,595,1374,11,50,244,598,1,-0.017903,-0.017612,-0.025142,-0.024110,0.096724,0.092538
3353,0,埼玉,2016-11-01,2026-08-11,260,1484,43,160,129,655,1,0.057568,0.050572,0.054779,0.048837,-0.303255,-0.275789
3355,0,東京,2016-11-01,2026-08-05,245,919,8,21,100,297,1,0.009802,-0.014112,0.084986,0.066766,-0.230712,-0.148033
3357,0,岡山,2016-11-01,2026-08-11,300,1809,31,144,120,689,1,0.023731,0.008480,0.019127,0.011958,-0.049226,-0.011483
3358,0,山口,2016-11-08,2019-01-24,56,245,6,16,18,68,1,0.041837,0.014709,0.043878,0.006950,-0.323980,-0.176827
3360,0,福岡,2016-11-01,2020-02-18,308,652,76,130,201,385,1,0.047367,0.029467,0.062107,0.043190,-0.252589,-0.172029
3361,0,徳島,2016-11-01,2026-08-10,456,1509,50,133,215,580,1,0.021511,-0.003774,0.087131,0.063821,-0.310575,-0.208971
3362,0,三重,2016-11-03,2026-08-11,145,2298,43,527,98,1391,1,0.067222,0.051272,0.070553,0.059519,-0.332301,-0.280163
3363,0,長崎,2016-11-01,2017-03-01,0,53,0,1,0,6,0,,,,,,
3365,0,大阪,2016-11-03,2019-09-25,17,444,3,36,8,172,0,,,,,,
3370,0,大阪,2016-11-01,2026-08-08,168,1558,16,121,67,540,1,0.017574,0.004920,0.052211,0.035066,-0.203359,-0.133420
3372,0,広島,2016-11-01,2026-08-08,351,1268,33,50,143,352,1,0.054585,0.023858,0.129805,0.111915,-0.439000,-0.350648
3373,0,福岡,2016-11-03,2018-01-17,41,167,2,9,6,45,1,-0.005112,-0.013151,-0.123120,-0.122210,0.268001,0.275562
3376,0,群馬,2016-11-01,2021-06-24,181,801,5,53,59,235,1,-0.038543,-0.057450,0.032584,0.005743,-0.020458,0.088879
3377,0,東京,2016-11-01,2026-08-05,420,1149,43,87,180,453,1,0.026663,0.009137,0.034316,0.020505,-0.124102,-0.062378
3379,0,福岡,2016-11-01,2018-06-03,133,320,29,74,73,201,1,-0.013205,-0.030825,-0.079253,-0.098873,0.226151,0.307805
3381,0,埼玉,2016-12-15,2026-07-27,345,1644,78,294,204,842,1,0.047255,0.049517,0.079139,0.073547,-0.278361,-0.261072
3382,0,東京,2016-11-23,2022-05-01,263,560,20,37,108,183,1,0.009974,-0.005270,0.083861,0.068408,-0.251399,-0.185037
3385,0,東京,2016-11-01,2026-08-11,578,1704,123,346,345,1020,1,0.009751,0.016520,-0.001706,0.002557,-0.002902,-0.023208
3388,0,福井,2016-11-09,2026-06-22,480,1724,231,440,391,1052,1,0.226030,0.182600,0.204375,0.148955,-0.894345,-0.667869
3391,0,東京,2016-11-05,2026-08-11,121,333,18,56,63,189,1,-0.019408,-0.014233,-0.046906,-0.038399,0.237535,0.205517
3392,0,三重,2016-11-08,2026-08-09,412,1510,36,111,165,568,1,0.013869,0.006384,0.024326,0.019367,-0.034607,-0.011057
3393,0,東京,2016-11-25,2019-12-20,146,257,14,9,45,61,1,0.060871,0.035800,0.070865,0.043668,-0.272027,-0.160707
3397,0,広島,2016-11-01,2018-10-26,69,298,4,16,20,73,1,0.004280,0.000459,0.044889,0.040890,-0.252407,-0.235207
3398,0,埼玉,2016-11-03,2020-06-25,55,427,4,16,18,129,1,0.035257,0.039568,0.025165,0.050759,-0.242325,-0.336486
3400,0,愛知,2016-11-08,2024-08-15,98,360,5,24,31,126,1,-0.015646,-0.015967,-0.033673,-0.032408,0.111565,0.108611
3401,0,香川,2016-11-08,2026-08-11,376,2029,65,315,197,1024,1,0.017623,0.017814,0.019254,0.019812,-0.076965,-0.077843
3404,0,東京,2016-11-01,2018-08-11,75,285,12,11,20,78,1,0.121404,0.090983,-0.007018,-0.029596,-0.001404,0.098417
3406,0,群馬,2016-11-01,2026-08-11,470,2002,76,342,294,1120,1,-0.009127,-0.017694,0.066091,0.047724,-0.144275,-0.073635
3407,0,東京,2016-11-08,2018-12-19,105,267,3,15,32,81,1,-0.027608,-0.058368,0.001391,-0.018704,0.027929,0.125168
