date,model,jcd,rno,p,high,y,hit
20260811,m8-v1-pm,06,11,0.1383,false,0,
20260811,m8-v1-pm,05,9,0.1383,false,1,
20260811,m8-v1-pm,19,12,0.1383,false,0,
20260811,m8-v1-pm,19,8,0.1383,false,0,
20260811,m8-v1-pm,06,9,0.1383,false,0,
20260811,m8-v1-pm,01,8,0.1383,false,0,
20260811,m8-v1-pm,03,5,0.1383,false,,
20260811,m8-v1-pm,20,1,0.1383,false,0,
20260811,m8-v1-pm,07,10,0.1383,false,0,
20260811,m8-v1-pm,19,1,0.1383,false,0,
20260811,m8-v1-pm,04,12,0.1383,false,1,
20260811,m8-v1-pm,18,12,0.1383,false,0,
20260811,m8-v1-pm,15,8,0.1383,false,0,
20260811,m8-v1-pm,21,2,0.1383,false,0,
20260811,m8-v1-pm,07,12,0.1383,false,0,
20260811,m8-v1-pm,18,6,0.1383,false,0,
20260811,m8-v1-pm,13,8,0.1077,false,0,
20260811,m8-v1-pm,18,1,0.1077,false,0,
20260811,m8-v1-pm,06,12,0.1077,false,0,
20260811,m8-v1-pm,18,3,0.1077,false,0,
20260811,m8-v1-pm,15,10,0.1077,false,0,
20260811,m8-v1-pm,20,6,0.1077,false,0,
20260811,m8-v1-pm,15,4,0.089,false,0,
20260811,m8-v1-pm,03,10,0.089,false,,
20260811,m8-v1-pm,15,12,0.089,false,0,
20260811,m8-v1-pm,20,10,0.089,false,0,
20260811,m8-v1-pm,13,11,0.089,false,0,
20260811,m8-v1-pm,01,11,0.089,false,0,
20260811,m8-v1-pm,15,7,0.089,false,0,
20260811,m8-v1-pm,04,11,0.089,false,0,
20260811,m8-v1-pm,16,7,0.089,false,0,
20260811,m8-v1-pm,19,9,0.089,false,0,
20260811,m8-v1-pm,06,8,0.089,false,0,
20260811,m8-v1-pm,05,10,0.089,false,1,
20260811,m8-v1-pm,21,10,0.089,false,0,
20260811,m8-v1-pm,21,12,0.089,false,0,
20260811,m8-v1-pm,15,6,0.089,false,1,
20260811,m8-v1-pm,18,5,0.089,false,0,
20260811,m8-v1-pm,13,6,0.089,false,0,
20260811,m8-v1-pm,20,7,0.089,false,0,
20260811,m8-v1-pm,08,11,0.089,false,1,
20260811,m8-v1-pm,08,1,0.089,false,0,
20260811,m8-v1-pm,19,5,0.089,false,0,
20260811,m8-v1-pm,20,5,0.089,false,0,
20260811,m8-v1-pm,03,12,0.089,false,,
20260811,m8-v1-pm,01,10,0.089,false,0,
20260811,m8-v1-pm,13,5,0.089,false,0,
20260811,m8-v1-pm,01,12,0.089,false,1,
20260811,m8-v1-pm,19,11,0.089,false,0,
20260811,m8-v1-pm,13,7,0.089,false,0,
20260811,m8-v1-pm,18,2,0.089,false,0,
